Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,session_id,event_time,event_type,product_id,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
high-end meat and seafood connoisseur,"[206787412211, datetime.datetime(2024, 2, 1, 19, 36, 53, 116000), 'load', '澎湖活凍野生明蝦']","[206787412211, datetime.datetime(2024, 2, 1, 19, 41, 54, 701000), 'load', '澎湖活凍野生明蝦']","[206787412211, datetime.datetime(2024, 2, 1, 19, 42, 12, 512000), 'purchase', '澎湖活凍野生明蝦']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[202304461943, datetime.datetime(2023, 12, 11, 22, 21, 3, 131000), 'load', '宜蘭招牌西魯肉']","[202304461943, datetime.datetime(2023, 12, 11, 22, 22, 12, 808000), 'load', '宜蘭招牌西魯肉']","[202304461943, datetime.datetime(2023, 12, 11, 22, 23, 43, 375000), 'load', '宜蘭招牌西魯肉']","[202304461943, datetime.datetime(2023, 12, 11, 22, 24, 36, 861000), 'load', '聖凱招牌牛肉麵6入自由選']","[202304461943, datetime.datetime(2023, 12, 11, 22, 25, 57, 894000), 'load', '聖凱招牌牛肉麵3入自由選']","[202304461943, datetime.datetime(2023, 12, 11, 22, 59, 3, 658000), 'load', '宜蘭招牌西魯肉']","[202304461943, datetime.datetime(2023, 12, 11, 23, 0, 57, 897000), 'load', '台灣極鮮白蝦']","[202304461943, datetime.datetime(2023, 12, 11, 23, 1, 45, 280000), 'load', '超大無毒白蝦仁 150g']","[202304461943, datetime.datetime(2023, 12, 11, 23, 3, 16, 309000), 'load', '北海道嚴選鮮甜干貝']","[202304461943, datetime.datetime(2023, 12, 11, 23, 7, 18, 583000), 'purchase', '宜蘭招牌西魯肉']","[202304461943, datetime.datetime(2023, 12, 11, 23, 7, 18, 583000), 'purchase', '超大無毒白蝦仁 150g']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[205282232852, datetime.datetime(2024, 1, 15, 9, 30, 35, 726000), 'load', '特選智利鮮採櫻桃']","[205282232852, datetime.datetime(2024, 1, 15, 9, 34, 16, 214000), 'load', '特選智利鮮採櫻桃(1KG/箱)']","[205282232852, datetime.datetime(2024, 1, 15, 9, 42, 1, 238000), 'purchase', '特選智利鮮採櫻桃(1KG/箱)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxury seafood enthusiast,"[208342514655, datetime.datetime(2024, 2, 19, 19, 35, 36, 230000), 'load', '醬漬一口鮑單入自由選']","[208342514655, datetime.datetime(2024, 2, 19, 19, 39, 56, 387000), 'purchase', '醬漬一口鮑單入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frugal meat lover,"[209962650435, datetime.datetime(2024, 3, 9, 13, 37, 45, 434000), 'load', '聖凱招牌牛肉麵3入自由選']","[209962650435, datetime.datetime(2024, 3, 9, 13, 41, 22, 866000), 'purchase', '聖凱招牌牛肉麵3入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[202397099601, datetime.datetime(2023, 12, 13, 0, 6, 12, 689000), 'load', '西班牙手切伊比利松阪豬']","[202397099601, datetime.datetime(2023, 12, 13, 0, 6, 39, 217000), 'load', '西班牙頂級霜降松阪豬']","[202397099601, datetime.datetime(2023, 12, 13, 0, 6, 51, 145000), 'load', '西班牙手切伊比利松阪豬']","[202397099601, datetime.datetime(2023, 12, 13, 0, 11, 5, 952000), 'purchase', '西班牙頂級霜降松阪豬']","[202397099601, datetime.datetime(2023, 12, 13, 0, 11, 5, 952000), 'purchase', '西班牙手切伊比利松阪豬']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seasonal fruit and vegetable buyer,"[201655583370, datetime.datetime(2023, 12, 4, 10, 6, 24, 915000), 'load', '橙蜜香小蕃茄']","[201655583370, datetime.datetime(2023, 12, 4, 10, 7, 19, 634000), 'load', '橙蜜香小蕃茄']","[201655583370, datetime.datetime(2023, 12, 4, 10, 8, 11, 177000), 'purchase', '橙蜜香小蕃茄']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end meat and seafood connoisseur,"[204201329949, datetime.datetime(2024, 1, 2, 21, 15, 48, 468000), 'load', '醬漬一口鮑單入自由選']","[204201329949, datetime.datetime(2024, 1, 2, 21, 24, 28, 636000), 'purchase', '台南無刺虱目魚肚']","[204201329949, datetime.datetime(2024, 1, 2, 21, 24, 28, 636000), 'purchase', '優鮮原味雞塊']","[204201329949, datetime.datetime(2024, 1, 2, 21, 24, 28, 636000), 'purchase', '超大無毒白蝦仁 150g']","[204201329949, datetime.datetime(2024, 1, 2, 21, 24, 28, 636000), 'purchase', '蒜香鹽酥杏鮑菇']","[204201329949, datetime.datetime(2024, 1, 2, 21, 24, 28, 636000), 'purchase', '黃金香酥旗魚塊']","[204201329949, datetime.datetime(2024, 1, 2, 21, 24, 28, 636000), 'purchase', '輕采養生藜麥毛豆']","[204201329949, datetime.datetime(2024, 1, 2, 21, 24, 28, 636000), 'purchase', '美式酥炸洋蔥圈']","[204201329949, datetime.datetime(2024, 1, 2, 21, 24, 28, 636000), 'purchase', '醬漬一口鮑單入自由選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luxury seafood enthusiast,"[201228131329, datetime.datetime(2023, 11, 29, 11, 22, 13, 234000), 'load', '鮮凍智利鮭魚']","[201228131329, datetime.datetime(2023, 11, 29, 11, 39, 3, 783000), 'purchase', '鮮凍智利鮭魚']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
community event shopper,"[205058030282, datetime.datetime(2024, 1, 12, 19, 17, 55, 903000), 'load', '喜迎春富賀歲宴']","[205058030282, datetime.datetime(2024, 1, 12, 19, 38, 40, 545000), 'load', '招牌紅燒牛肉湯']","[205058030282, datetime.datetime(2024, 1, 12, 19, 39, 50, 248000), 'load', '招牌紅燒牛肉湯']","[205058030282, datetime.datetime(2024, 1, 12, 19, 40, 13, 877000), 'load', '豐禾小團聚']","[205058030282, datetime.datetime(2024, 1, 12, 19, 41, 25, 900000), 'load', '喜迎春富賀歲宴']","[205058030282, datetime.datetime(2024, 1, 12, 19, 47, 45, 304000), 'load', '招牌香滷牛筋8入自由選']","[205058030282, datetime.datetime(2024, 1, 12, 19, 54, 4, 879000), 'load', '人氣手打漿5入自由選']","[205058030282, datetime.datetime(2024, 1, 12, 19, 58, 26, 330000), 'load', '綜合水果脆片']","[205058030282, datetime.datetime(2024, 1, 12, 20, 2, 26, 205000), 'purchase', '喜迎春富賀歲宴']","[205058030282, datetime.datetime(2024, 1, 12, 20, 2, 26, 205000), 'purchase', '綜合水果脆片']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
