Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,session_id,event_time,event_type,product_id,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
high-end beef lover,"[205315698975, datetime.datetime(2024, 1, 15, 18, 48, 19, 755000), 'load', '美國頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 18, 48, 38, 438000), 'load', '美國頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 18, 50, 45, 843000), 'load', '美國頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 18, 51, 22, 617000), 'load', '美國安格斯帶骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 18, 58, 10, 51000), 'load', '舒肥櫻桃嫩鴨胸']","[205315698975, datetime.datetime(2024, 1, 15, 18, 58, 43, 684000), 'load', '西班牙手切伊比利松阪豬']","[205315698975, datetime.datetime(2024, 1, 15, 19, 0, 41, 770000), 'load', '西班牙手切伊比利松阪豬']","[205315698975, datetime.datetime(2024, 1, 15, 19, 1, 11, 296000), 'load', '一休精選頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 19, 19, 34, 390000), 'load', '美國頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 19, 21, 5, 456000), 'load', '日本A5和牛漢堡排單入任選']","[205315698975, datetime.datetime(2024, 1, 15, 19, 21, 57, 705000), 'load', '美國頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 19, 22, 1, 832000), 'load', '一休精選頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 19, 41, 18, 723000), 'load', '一休精選頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 19, 42, 9, 227000), 'load', '美國頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 19, 46, 32, 823000), 'load', '一休精選頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 19, 46, 42, 51000), 'load', '美國頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 19, 53, 47, 941000), 'purchase', '美國頂級無骨牛小排']","[205315698975, datetime.datetime(2024, 1, 15, 19, 53, 47, 941000), 'purchase', '西班牙手切伊比利松阪豬']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium seafood enthusiast,"[206948988691, datetime.datetime(2024, 2, 3, 16, 30, 4, 528000), 'load', '小資黃金雞湯涮涮鍋']","[206948988691, datetime.datetime(2024, 2, 3, 16, 33, 27, 814000), 'load', '小資黃金雞湯涮涮鍋']","[206948988691, datetime.datetime(2024, 2, 3, 16, 33, 43, 214000), 'load', '大嗑黃金雞湯涮涮鍋']","[206948988691, datetime.datetime(2024, 2, 3, 16, 34, 1, 476000), 'load', '小資黃金雞湯涮涮鍋']","[206948988691, datetime.datetime(2024, 2, 3, 16, 34, 37, 41000), 'load', '北海道嚴選鮮甜干貝']","[206948988691, datetime.datetime(2024, 2, 3, 16, 38, 48, 801000), 'load', '金目鱸魚清肉排']","[206948988691, datetime.datetime(2024, 2, 3, 16, 41, 14, 857000), 'load', '完熟黃金冰烤地瓜']","[206948988691, datetime.datetime(2024, 2, 3, 16, 43, 28, 577000), 'purchase', '北海道嚴選鮮甜干貝']","[206948988691, datetime.datetime(2024, 2, 3, 16, 43, 28, 577000), 'purchase', '金目鱸魚清肉排']","[206948988691, datetime.datetime(2024, 2, 3, 16, 43, 28, 577000), 'purchase', '完熟黃金冰烤地瓜']","[206948988691, datetime.datetime(2024, 2, 3, 16, 43, 28, 577000), 'purchase', '小資黃金雞湯涮涮鍋']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthy and low-calorie food seeker,"[209881468951, datetime.datetime(2024, 3, 8, 15, 4, 30, 120000), 'load', '鮮凍毛豆仁']","[209881468951, datetime.datetime(2024, 3, 8, 15, 5, 3, 16000), 'load', '究好味菇菇米10入自由選']","[209881468951, datetime.datetime(2024, 3, 8, 15, 5, 44, 396000), 'load', '低醣飲食雞胸蔬菜任選20入']","[209881468951, datetime.datetime(2024, 3, 8, 15, 13, 17, 938000), 'purchase', '低醣飲食雞胸蔬菜任選20入']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snack and convenience food shopper,"[206373921879, datetime.datetime(2024, 1, 28, 0, 45, 23, 36000), 'load', '特選鮮採大湖草莓']","[206373921879, datetime.datetime(2024, 1, 28, 0, 52, 34, 106000), 'purchase', '特選鮮採大湖草莓']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end and premium food lover,"[198820099948, datetime.datetime(2023, 11, 1, 14, 28, 22, 49000), 'load', '美澳紐超值福利牛肉']","[198820099948, datetime.datetime(2023, 11, 1, 14, 29, 59), 'load', '美澳紐超值福利牛肉']","[198820099948, datetime.datetime(2023, 11, 1, 14, 36, 3, 542000), 'purchase', '美澳紐超值福利牛肉']","[198820099948, datetime.datetime(2023, 11, 1, 14, 36, 3, 542000), 'purchase', '紐西蘭菲力骰子牛']","[198820099948, datetime.datetime(2023, 11, 1, 14, 36, 3, 542000), 'purchase', 'PRIME美國特級板腱牛排']","[198820099948, datetime.datetime(2023, 11, 1, 14, 36, 3, 542000), 'purchase', '日式梅花燒肉片']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end beef lover,"[206811345979, datetime.datetime(2024, 2, 2, 2, 15, 46, 847000), 'load', '日式梅花燒肉片']","[206811345979, datetime.datetime(2024, 2, 2, 2, 19, 28, 625000), 'purchase', '日式梅花燒肉片']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
premium seafood enthusiast,"[203829382078, datetime.datetime(2023, 12, 29, 13, 56, 24, 13000), 'load', '美國安格斯帶骨牛小排']","[203829382078, datetime.datetime(2023, 12, 29, 14, 2, 18, 811000), 'purchase', '美國安格斯帶骨牛小排']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meat and seafood combo shopper,"[209313118069, datetime.datetime(2024, 3, 2, 1, 13, 11, 348000), 'load', '美國頂級雪花翼板牛排']","[209313118069, datetime.datetime(2024, 3, 2, 1, 13, 44, 304000), 'load', '低醣飲食雞胸蔬菜任選35入']","[209313118069, datetime.datetime(2024, 3, 2, 1, 14, 58, 849000), 'load', '享受藜麥自由選(12包入)']","[209313118069, datetime.datetime(2024, 3, 2, 1, 15, 53, 699000), 'load', '豪氣食堂台式芋頭炊粉湯']","[209313118069, datetime.datetime(2024, 3, 2, 1, 16, 34, 825000), 'load', '豪氣食堂台式芋頭炊粉湯']","[209313118069, datetime.datetime(2024, 3, 2, 1, 16, 48, 223000), 'load', '日式梅花燒肉片']","[209313118069, datetime.datetime(2024, 3, 2, 1, 17, 25, 597000), 'load', '美國頂級無骨牛小排']","[209313118069, datetime.datetime(2024, 3, 2, 1, 17, 46, 397000), 'load', '超值老饕霜降骰子牛肉']","[209313118069, datetime.datetime(2024, 3, 2, 1, 18, 5, 737000), 'load', '美國頂級雪花翼板牛排']","[209313118069, datetime.datetime(2024, 3, 2, 1, 18, 24, 148000), 'load', '輕采養生藜麥毛豆']","[209313118069, datetime.datetime(2024, 3, 2, 1, 19, 2, 441000), 'load', '招牌紅燒牛肉湯']","[209313118069, datetime.datetime(2024, 3, 2, 1, 19, 28, 788000), 'load', '一休精選 低醣飲食雞胸蔬菜']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '美國頂級雪花翼板牛排']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '豪氣食堂台式芋頭炊粉湯']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '日式梅花燒肉片']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '超值老饕霜降骰子牛肉']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '輕采養生藜麥毛豆']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '招牌紅燒牛肉湯']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '鮮凍菠菜(台灣)']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '蒜香鹽酥杏鮑菇']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '鮮凍秋葵']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '鮮凍油菜花']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '招牌鹹水雞蔬食盒']","[209313118069, datetime.datetime(2024, 3, 2, 1, 33, 19, 434000), 'purchase', '一休精選 低醣飲食雞胸蔬菜']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high-end beef lover,"[209523401375, datetime.datetime(2024, 3, 4, 11, 36, 55, 181000), 'load', '日式梅花燒肉片']","[209523401375, datetime.datetime(2024, 3, 4, 11, 45, 37, 781000), 'load', '【限量特賣】義大利麵任選']","[209523401375, datetime.datetime(2024, 3, 4, 11, 46, 2, 108000), 'load', '【限量特賣】義大利麵任選']","[209523401375, datetime.datetime(2024, 3, 4, 11, 46, 14, 547000), 'load', '【限量特賣】紐約客牛排']","[209523401375, datetime.datetime(2024, 3, 4, 11, 46, 28, 998000), 'load', '美國安格斯帶骨牛小排']","[209523401375, datetime.datetime(2024, 3, 4, 11, 47, 0, 623000), 'load', '鮮嫩無骨雞腿排/單支裝']","[209523401375, datetime.datetime(2024, 3, 4, 11, 49, 5, 69000), 'load', '一休精選 煮婦救星鮮凍蔬菜']","[209523401375, datetime.datetime(2024, 3, 4, 11, 54, 59, 818000), 'load', '【限量特賣】義大利麵任選']","[209523401375, datetime.datetime(2024, 3, 4, 11, 55, 12, 186000), 'load', '饕饕不絕-義大利麵單入任選']","[209523401375, datetime.datetime(2024, 3, 4, 11, 58, 36, 696000), 'purchase', '【限量特賣】紐約客牛排']","[209523401375, datetime.datetime(2024, 3, 4, 11, 58, 36, 696000), 'purchase', '日式梅花燒肉片']","[209523401375, datetime.datetime(2024, 3, 4, 11, 58, 36, 696000), 'purchase', '香酥雞腿排']","[209523401375, datetime.datetime(2024, 3, 4, 11, 58, 36, 696000), 'purchase', '【限量特賣】義大利麵任選']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comfort food lover,"[199851890714, datetime.datetime(2023, 11, 13, 13, 4, 55, 157000), 'load', '招牌紅燒牛肉湯']","[199851890714, datetime.datetime(2023, 11, 13, 13, 7, 52, 605000), 'load', '辣媽南洋風咖哩雞']","[199851890714, datetime.datetime(2023, 11, 13, 13, 15, 51, 543000), 'purchase', '辣媽南洋風咖哩雞']","[199851890714, datetime.datetime(2023, 11, 13, 13, 15, 51, 543000), 'purchase', '招牌紅燒牛肉湯']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
